cores, tasks, nodes, edgep, objro, growf,  util, sched, mhigh, mlow,  cavg,  lavg
    5,    10,    50,   0.7,   0.2,   0.6,    .5,     1,   000,  005,2825.70,2273.85
    5,    10,    50,   0.7,   0.2,   0.6,   1.0,     1,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   1.5,     1,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   2.0,     1,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   2.5,     1,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   3.0,     0,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   3.5,     0,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   4.0,     0,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   4.5,     0,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   5.0,     0,   000,  005,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   5.5,     0,   001,  004,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.6,   6.0,     0,   002,  003,2822.87,2271.02
    5,    10,    50,   0.7,   0.2,   0.7,    .5,     1,   000,  005,2828.53,2276.68
    5,    10,    50,   0.7,   0.2,   0.7,   1.0,     1,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   1.5,     1,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   2.0,     1,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   2.5,     1,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   3.0,     0,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   3.5,     0,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   4.0,     0,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   4.5,     0,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   5.0,     0,   000,  005,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   5.5,     0,   001,  004,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.7,   6.0,     0,   002,  003,2826.16,2274.31
    5,    10,    50,   0.7,   0.2,   0.8,    .5,     1,   000,  005,2831.36,2279.51
    5,    10,    50,   0.7,   0.2,   0.8,   1.0,     1,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   1.5,     1,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   2.0,     1,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   2.5,     1,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   3.0,     0,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   3.5,     0,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   4.0,     0,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   4.5,     0,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   5.0,     0,   000,  005,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   5.5,     0,   001,  004,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.8,   6.0,     0,   002,  003,2829.45,2277.60
    5,    10,    50,   0.7,   0.2,   0.9,    .5,     1,   000,  005,2834.19,2282.35
    5,    10,    50,   0.7,   0.2,   0.9,   1.0,     1,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   1.5,     1,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   2.0,     1,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   2.5,     1,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   3.0,     0,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   3.5,     0,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   4.0,     0,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   4.5,     0,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   5.0,     0,   000,  005,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   5.5,     0,   001,  004,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   0.9,   6.0,     0,   002,  003,2832.74,2280.89
    5,    10,    50,   0.7,   0.2,   1.0,    .5,     1,   000,  005,2837.02,2285.18
    5,    10,    50,   0.7,   0.2,   1.0,   1.0,     1,   000,  005,2837.02,2285.18
    5,    10,    50,   0.7,   0.2,   1.0,   1.5,     1,   000,  005,2837.02,2285.18
    5,    10,    50,   0.7,   0.2,   1.0,   2.0,     1,   000,  005,2837.02,2285.18
    5,    10,    50,   0.7,   0.2,   1.0,   2.5,     1,   000,  005,2836.03,2284.18
    5,    10,    50,   0.7,   0.2,   1.0,   3.0,     0,   000,  005,2836.03,2284.18
    5,    10,    50,   0.7,   0.2,   1.0,   3.5,     0,   000,  005,2836.03,2284.18
    5,    10,    50,   0.7,   0.2,   1.0,   4.0,     0,   000,  005,2836.03,2284.18
    5,    10,    50,   0.7,   0.2,   1.0,   4.5,     0,   000,  005,2836.03,2284.18
    5,    10,    50,   0.7,   0.2,   1.0,   5.0,     0,   000,  005,2836.03,2284.18
    5,    10,    50,   0.7,   0.2,   1.0,   5.5,     0,   001,  004,2836.03,2284.18
    5,    10,    50,   0.7,   0.2,   1.0,   6.0,     0,   002,  003,2836.03,2284.18
    5,    10,    50,   0.7,   0.3,   0.1,    .5,     1,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   1.0,     1,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   1.5,     1,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   2.0,     1,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   2.5,     1,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   3.0,     0,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   3.5,     0,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   4.0,     0,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   4.5,     0,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   5.0,     0,   000,  005,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   5.5,     0,   001,  004,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.1,   6.0,     0,   002,  003,2685.04,2155.90
    5,    10,    50,   0.7,   0.3,   0.2,    .5,     1,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   1.0,     1,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   1.5,     1,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   2.0,     1,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   2.5,     1,   000,  005,2689.75,2160.61
